Player,Dismissal,Runs,Balls,4s,6s,Strikerate
Maheesh Theekshana,c Tanzim Hasan Sakib b Mustafizur Rahman,0,3,2,1,88.88
Matheesha Pathirana,not out,0,1,0,0,37.50
Michael Levitt,c †de Kock b Jansen,0,3,0,1,111.11
Max O'Dowd,c Jansen b Baartman,2,6,0,0,0.00
Vikramjit Singh,b Jansen,12,17,3,0,104.54
Sybrand Engelbrecht,c Jansen b Baartman,40,45,0,0,0.00
Bas de Leede,c Miller b Nortje,6,16,0,0,100.00
Scott Edwards (c)†,run out (Markram),10,9,0,0,0.00
Teja Nidamanuru,c Klaasen b Nortje,0,1,0,0,33.33
Logan van Beek,c Nortje b Baartman,23,22,1,0,70.58
Tim Pringle,c Markram b Baartman,0,2,2,1,88.88
Paul van Meekeren,not out,1,1,0,0,37.50
Michael Levitt,c †de Kock b Jansen,0,3,0,1,111.11
Max O'Dowd,c Jansen b Baartman,2,6,0,0,0.00
Vikramjit Singh,b Jansen,12,17,3,0,104.54
Sybrand Engelbrecht,c Jansen b Baartman,40,45,2,3,188.88
Bas de Leede,c Miller b Nortje,6,16,2,4,243.75
Scott Edwards (c)†,run out (Markram),10,9,2,2,140.00
Teja Nidamanuru,c Klaasen b Nortje,0,1,3,1,112.00
Logan van Beek,c Nortje b Baartman,23,22,2,2,176.47
Travis Head,b Archer,34,18,0,1,137.50
David Warner,b Ali,39,16,3,0,170.00
Mitchell Marsh (c),st †Buttler b Livingstone,35,25,0,0,0.00
Glenn Maxwell,c Salt b Rashid,28,25,0,0,-
Marcus Stoinis,c Brook b Jordan,30,17,2,3,188.88
Tim David,c Livingstone b Jordan,11,8,2,4,243.75
Matthew Wade †,not out,17,10,2,2,140.00
Pat Cummins,run out (†Buttler/Jordan),0,1,3,1,112.00
Mitchell Starc,not out,0,0,2,2,176.47
Travis Head,b Archer,34,18,0,1,137.50
David Warner,b Ali,39,16,3,0,170.00
Mitchell Marsh (c),st †Buttler b Livingstone,35,25,0,0,0.00
Glenn Maxwell,c Salt b Rashid,28,25,2,0,162.50
Marcus Stoinis,c Brook b Jordan,30,17,4,2,104.76
Tim David,c Livingstone b Jordan,11,8,0,3,129.41
Matthew Wade †,not out,17,10,1,1,127.77
Pat Cummins,run out (†Buttler/Jordan),0,1,2,1,137.50
Brandon King,b Ramjani,13,8,6,0,176.47
Johnson Charles,c Ramjani b Nakrani,44,42,0,0,100.00
Nicholas Pooran †,c & b Masaba,22,17,2,0,162.50
Rovman Powell (c),c Obuya b Masaba,23,18,4,2,104.76
Sherfane Rutherford,b Kyewuta,22,16,0,3,129.41
Andre Russell,not out,30,17,1,1,127.77
Romario Shepherd,not out,5,5,2,1,137.50
Brandon King,b Ramjani,13,8,6,0,176.47
Johnson Charles,c Ramjani b Nakrani,44,42,0,0,100.00
Nicholas Pooran †,c & b Masaba,22,17,1,1,108.33
Rovman Powell (c),c Obuya b Masaba,23,18,1,0,133.33
Sherfane Rutherford,b Kyewuta,22,16,6,0,135.48
Andre Russell,not out,30,17,2,1,111.11
Romario Shepherd,not out,5,5,1,0,87.50
Total,20 Ov (RR: 8.65),173/5,,0,0,33.33
Rohit Sharma (c),c Haris Rauf b Shaheen Shah Afridi,13,12,1,0,58.33
Virat Kohli,c Usman Khan b Naseem Shah,4,3,0,0,0.00
Rishabh Pant †,c Babar Azam b Mohammad Amir,42,31,1,0,69.23
Axar Patel,b Naseem Shah,20,18,0,0,0.00
Suryakumar Yadav,c Mohammad Amir b Haris Rauf,7,8,0,0,100.00
Shivam Dube,c & b Naseem Shah,3,9,1,1,108.33
Hardik Pandya,c Iftikhar Ahmed b Haris Rauf,7,12,1,0,133.33
Ravindra Jadeja,c Imad Wasim b Mohammad Amir,0,1,6,0,135.48
